galaxy,stationary_role,source,source_pdf,source_panel_index,vector_vertex_index,radius_source_kpc,radius_source_arcsec_derived,sigma_hi_msun_pc2,source_distance_mpc,source_rhi_kpc_anchor,source_mean_sigma_hi_3p2h_anchor,axis_kpc_per_pdf_x,axis_sigma_per_pdf_y,axis_tick_nice_score,helium_applied,frozen_distance_applied,profile_status
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,38,8.501037173,134.8820333,1.275881788,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,39,8.72555978,138.4444299,1.155050215,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,40,8.947587344,141.9672387,1.034541664,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,41,9.172182677,145.5307892,0.9153553931,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,42,9.396704165,149.093168,0.7948498615,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,43,9.619246401,152.624143,0.6756575525,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,44,9.843841734,156.1876935,0.5551339075,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,45,10.06836322,159.7500723,0.4725005079,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,46,10.29053847,163.2752245,0.4260697873,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,47,10.51498724,166.8364494,0.3812813496,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
UGC04499,calibration,Elson_2017_WHISP_vector_appendix,profiles1_V2.pdf,9,48,10.73767492,170.3697322,0.3348566667,13,9.012677866,7.2,0.0733251952822,0.0494616987718,0.1627155075,0,0,vector_geometry_exact_axis_scale_reconstructed_candidate
