name,arm,ra_deg,dec_deg,plx_mas,e_plx_mas,x_kpc,y_kpc,z_kpc,R_kpc,U_kms,V_kms,W_kms,e_U_kms,e_V_kms,e_W_kms
G074.03-01.71,Loc,306.2796054166667,34.832664722222226,0.629,0.017,-7.712921443223972,1.5278149689071336,-0.04234650487372727,7.8627842249778706,7.8346697836340775,-8.058622166858726,10.059872677572521,10.672865579747922,5.291437078248872,10.508334260384665
G075.29+01.32,Out,304.06671666666665,37.59605833333334,0.108,0.01,-5.800335524369119,8.953651515223171,0.2178491163702238,10.668259823013152,12.471372814371357,5.217915619945586,-17.624529310986944,5.771662454064895,16.72973534079164,6.372477909852466
G075.76+00.33,Loc,305.4211916666667,37.4248,0.285,0.022,-7.286950490205235,3.400914527904229,0.025737993920703136,8.041509004708777,0.04580013308189297,-16.593819249977656,6.289327580879544,9.96553297714172,8.617856873457859,11.07172527026971
G075.78+00.34,Loc,305.4333833333334,37.44374444444444,0.261,0.03,-7.208956634681051,3.7139877580238183,0.027789552613754317,8.109424198268503,-4.065287622132084,-5.296027954524703,0.8643847380931236,10.101562844005429,6.445260143442356,10.39319255450268
G076.38-00.61,Loc,306.85614666666663,37.38012777777778,0.77,0.053,-7.844223813963814,1.2621114492662184,-0.008706050315397399,7.945109977459461,2.3016146170068086,-12.34148519255504,12.695163087691165,19.488338352148247,4.917575837850688,18.682558474973717
G078.12+03.63,Loc,303.608625,41.225747222222225,0.645,0.03,-7.831467090072976,1.5141437797268993,0.10352184709609896,7.976497236793964,-34.45856016745278,-16.220206826348374,22.702507211455735,6.526952147851892,4.926278745524992,6.128305973715104
G078.88+00.70,Loc,307.35342916666673,40.188775,0.3,0.024,-7.50751491273962,3.2705749537654993,0.046315196210196134,8.188982885145505,-13.161129295794284,-11.797124054620411,-21.84973232147097,11.037340575252411,6.7807798307796245,12.475533866794438
G079.73+00.99,Loc,307.7111375,41.04098333333333,0.737,0.062,-7.908241245008176,1.3349376964768545,0.028793303226443575,8.020120837164699,1.4304456793785518,-11.203410596988277,6.295107868625894,6.558528711483147,5.059867785007953,5.804453490765661
G079.87+01.17,Loc,307.62143333333336,41.2649,0.62,0.027,-7.866543659263711,1.5874587486169909,0.03844073833198685,8.025118966199985,8.676568946069683,-12.811884379040293,3.727901770008835,9.470862463285954,9.566997628738894,9.318918583540718
G080.79-01.92,Loc,311.60641666666663,40.1165,0.62,0.047,-7.892259820879795,1.5912529640425856,-0.04873815031220214,8.051077634444217,-2.845800339127576,-10.459149854179856,-4.448197529552054,4.526640208380043,3.064277552605657,4.516445184997496
G080.86+00.38,Loc,309.254,41.58213888888889,0.687,0.038,-7.9188139321629,1.4370961105609463,0.015084064794271986,8.048158753603625,7.03273461068742,-10.155074030904558,5.424274023087484,5.591530069414343,4.903290461439699,5.596461938795239
G081.75+00.59,Loc,309.7583041666667,42.416469444444445,0.666,0.035,-7.934603585425367,1.485892555853661,0.020838042002373488,8.072534344639632,-0.4587930654218791,-9.632073913189345,6.972995168182495,3.308226734698656,2.9193449900188244,3.2899532727054526
G081.87+00.78,Loc,309.651775,42.626333333333335,0.772,0.042,-7.966844515468006,1.2822031654841428,0.023026663509370767,8.069365309069866,-0.9376541906426415,0.3310812367604399,1.5549825284033307,3.196100607884537,3.2125494999691036,3.0331882099280842
G090.21+02.32,Loc,315.5945875,50.05230805555555,1.483,0.038,-8.152453552381479,0.6737494752241011,0.03284992630147878,8.180246773728904,-4.628743620071274,-7.070960227775629,6.557603805800668,4.94440264722376,4.900009856919186,4.981009828213072
G090.92+01.48,Out,317.30403541666664,50.01768444444444,0.171,0.031,-8.24390862058803,5.845228600595476,0.15729015153173237,10.105875852088477,4.153501266244008,-29.679908380512018,16.438405200366116,6.246262923460516,17.246769181709222,7.261282076942801
G092.67+03.07,Loc,317.34055,52.37696666666667,0.613,0.02,-8.225852696098261,1.6272085013409359,0.09295280639135489,8.38525253553781,-16.902889787115935,-6.52005421637358,-1.3489395742223154,10.417239664620952,10.66434504125972,11.626025966977307
G094.60-01.79,Per,324.9927920833333,50.239165,0.221,0.013,-8.51300099297599,4.508080219926993,-0.13607301862778837,9.632962845132704,3.4475748502088623,-7.948056778614074,16.059721622860412,4.133635635166883,4.560373647768133,4.802773271253598
G095.29-00.93,Per,324.9187870833333,51.34244666666667,0.206,0.015,-8.598085768889954,4.832997350300211,-0.07356845710673104,9.86331294632776,-7.487699689664187,-4.116070878485772,0.833292911747399,6.429296709767142,6.932915329392513,8.489625465805629
G097.53+03.18,Out,323.05180958333335,55.89713583333333,0.133,0.017,-9.13357068660555,7.442443159189736,0.4237500330475132,11.781853575095486,9.721725157195277,7.875422110358016,9.275852359127878,8.210442744184396,18.15907000770559,11.4001504080233
G100.37-03.57,Per,334.0431879166666,52.359475833333335,0.289,0.016,-8.772249462570388,3.396966370859867,-0.21004464340757562,9.407004898389248,12.905435211841846,-1.9949953651404826,3.1272180974838877,10.661142112609902,9.98493511266281,9.304430531404662
G105.41+09.87,Loc,325.77700416666664,66.11537222222222,1.129,0.063,-8.38184679057515,0.8412154781332571,0.15760966549776137,8.423953887654294,7.817545388193582,-1.6378910216462543,-12.784969577264446,5.254562113174437,4.906914434504315,4.660015489372752
G107.29+05.63,Loc,335.3613666666667,63.860533333333336,1.288,0.107,-8.37968581593073,0.7376932550392208,0.08195480383513667,8.412094014705318,4.402791691104592,-7.917340344951668,11.05619424372952,5.52660150370221,5.044143680375134,5.1738948600384305
G108.18+05.51,Loc,337.2142154166666,64.22811138888889,1.092,0.018,-8.434397610719435,0.8659830323151406,0.09376137812318575,8.478737504367466,-1.9943916511561908,-7.223085368589324,-3.5156052733779823,4.8274718530590555,3.522703190447295,5.131199392445929
G108.20+00.58,Per,342.38115625,59.928335,0.227,0.037,-9.52636976318132,4.184497083845093,0.05168539697483159,10.404890038321568,-11.06471778962414,-12.513863217633457,9.513528373238593,11.832504568888528,12.009198410259307,11.264193694001918
G108.42+00.89,Per,342.49531666666667,60.29906944444444,0.4,0.05,-8.940050372386175,2.371551035934077,0.04503682654365287,9.24925699593444,12.389054022498605,-24.338448923785364,0.135809223015011,7.128580271095091,6.649828319974497,6.291817619642756
G108.47-02.81,Per,345.63366666666667,56.96427777777778,0.309,0.01,-9.174206392753346,3.0658092248798465,-0.15292707925926036,9.672913167200186,20.260009244743415,-11.664771952836276,-8.757319543449563,6.593277715446095,6.094832137581818,7.739501559510917
G108.59+00.49,Per,343.15964583333334,60.01441333333333,0.405,0.033,-8.937288194071733,2.3401568272627356,0.02722584126577948,9.238585077817836,45.8427928450447,-3.9025194211329506,-0.02395298609473907,5.07300243606387,6.914394961410495,4.427622408542866
G109.87+02.11,Loc,344.07523291666666,62.030433888888886,1.228,0.024,-8.42658514750735,0.7653252928661649,0.035729705527709925,8.46126822953227,2.9053585590253976,-1.5426853801236007,-0.4983246604959511,5.3585847510372195,5.088142371795887,4.6820951543174285
G111.25-00.76,Per,349.04309166666667,59.924609999999994,0.28,0.015,-9.444660334768944,3.3281726402849006,-0.04160339173526501,10.013907427308222,1.1597524999150182,-0.23350515973643837,-3.048954573526723,4.518710195267003,4.243439601716405,5.5855951101874375
G111.54+00.77,Per,348.43899999999996,61.46959722222223,0.378,0.017,-9.121272101165818,2.4604830232261548,0.042029990995250115,9.447305512742245,17.995185015007664,-22.997925488086707,-10.500049905138702,5.07114544423553,5.1477952852480335,5.095981738967957
G115.05-00.04,Per,356.0136733333333,61.789496388888885,0.356,0.04,-9.339711043979069,2.544601879433364,0.003961251625141433,9.680144684344361,16.24932656402667,8.0204525840484,-5.4319343903323745,8.366286202951706,9.433409904214129,10.39183573589078
G121.29+00.65,Loc,9.197304166666667,63.48393333333333,1.077,0.039,-8.63230303199116,0.7933364552528577,0.016499875687929263,8.668681466483639,9.68240308472701,-10.545660305234009,-2.6135869899660116,5.142294085025286,4.870093356404064,5.0229710801358385
G122.01-07.08,Per,11.243320833333334,55.77988888888889,0.46,0.02,-9.29390547218999,1.8292034580935526,-0.2616865535712087,9.472204823434957,30.152425043360907,-5.375636196163981,2.6991281302132326,5.534572853963338,5.5672874110136705,5.15549575268019
