older_lookback_gyr,younger_lookback_gyr,R_kpc,delta_surface_density_msun_per_kpc2,delta_SFR_surface_proxy_msun_per_yr_kpc2
11.65,11.18,14.128260452090418,4452.493521645748,9.473390471586685e-06
11.65,11.18,14.253280456091218,4045.693126311754,8.607857715556912e-06
11.65,11.18,14.378300460092017,3676.059896036929,7.821404034121115e-06
11.65,11.18,14.503320464092818,3340.198066769959,7.106804397382882e-06
11.65,11.18,14.628340468093619,3035.0221271644095,6.457493887583841e-06
11.65,11.18,14.753360472094418,2757.72847245707,5.867507388206524e-06
11.65,11.18,14.878380476095218,2505.7696481790526,5.331424783359679e-06
11.65,11.18,15.003400480096019,2276.83094708053,4.844321164001121e-06
11.65,11.18,15.12842048409682,2068.8091442686346,4.40172158355028e-06
11.65,11.18,15.253440488097619,1879.7931752014879,3.9995599472372026e-06
11.65,11.18,15.37846049209842,1708.0465790300332,3.634141657510704e-06
11.65,11.18,15.50348049609922,1551.9915459973363,3.3021096723347534e-06
11.65,11.18,15.628500500100019,1410.1944223412484,3.0004136645558435e-06
11.65,11.18,15.75352050410082,1281.352539536178,2.726281999013141e-06
11.65,11.18,15.87854050810162,1164.2822468762422,2.4771962699494482e-06
11.65,11.18,16.00356051210242,1057.9080374569435,2.2508681648020043e-06
11.65,11.18,16.128580516103224,961.2526676574537,2.0452184418243666e-06
11.65,11.18,16.253600520104023,873.4281793526695,1.8583578284099326e-06
11.65,11.18,16.37862052410482,793.6277423774834,1.688569664632941e-06
11.65,11.18,16.503640528105624,721.1182423012519,1.534294132555853e-06
11.65,11.18,16.628660532106423,655.2335454174549,1.394113926420115e-06
11.65,11.18,16.753680536107222,595.3683790750247,1.2667412320745187e-06
11.65,11.18,16.878700540108024,540.9727711309254,1.151005896023244e-06
11.65,11.18,17.003720544108823,491.5469974400428,1.045844675404345e-06
11.65,11.18,17.128740548109622,446.63699096575226,9.502914701398971e-07
11.65,11.18,17.253760552110425,405.83017033538783,8.634684475221006e-07
11.65,11.18,17.378780556111224,368.7516495181642,7.845779776982206e-07
11.65,11.18,17.503800560112023,335.06079380444146,7.128953059668957e-07
11.65,11.18,17.628820564112825,304.44809044666306,6.477618945673674e-07
11.65,11.18,17.753840568113624,276.63230521299863,5.885793727936133e-07
11.65,11.18,17.878860572114423,251.35789873139038,5.348040398540214e-07
11.65,11.18,18.003880576115225,228.39267888836207,4.859418699752378e-07
11.65,11.18,18.128900580116024,207.52566771552335,4.4154397386281506e-07
11.65,11.18,18.253920584116823,188.5651631671816,4.012024748237901e-07
11.65,11.18,18.378940588117626,171.33697798292178,3.645467616657905e-07
11.65,11.18,18.503960592118425,155.68283945583852,3.312400839485921e-07
11.65,11.18,18.628980596119224,141.45893540534033,3.009764583092343e-07
11.65,11.18,18.754000600120026,128.5345929966063,2.734778574395875e-07
11.65,11.18,18.879020604120825,116.79107826920344,2.484916558919219e-07
11.65,11.18,19.004040608121624,106.12050534631814,2.257883092474851e-07
11.65,11.18,19.129060612122426,96.42484530367986,2.0515924532697815e-07
11.65,11.18,19.254080616123225,87.61502559280089,1.8641494806978886e-07
11.65,11.18,19.379100620124028,79.6101117450709,1.69383216478874e-07
11.65,11.18,19.504120624124827,72.33656383915326,1.5390758263649608e-07
11.65,11.18,19.629140628125626,65.72756090095402,1.3984587425734877e-07
11.65,11.18,19.75416063212643,59.72238702953538,1.2706890857347936e-07
11.65,11.18,19.879180636127227,54.26587360940472,1.1545930555192477e-07
11.65,11.18,20.004200640128026,49.307892484866116,1.0491040954226818e-07
11.65,11.18,20.12922064412883,44.80289544030761,9.532530944746286e-08
11.65,11.18,20.254240648129628,40.70949575569939,8.661594841638157e-08
11.65,11.18,20.379260652130426,36.990087993115026,7.870231487896803e-08
11.65,11.18,20.50428065613123,33.61050252131478,7.1511707492159e-08
11.65,11.18,20.629300660132028,30.53969160456102,6.497806724374676e-08
11.65,11.18,20.754320664132827,27.749444171809806,5.904137057831865e-08
11.65,11.18,20.87934066813363,25.21412664590833,5.364707797001765e-08
11.65,11.18,21.00436067213443,22.910447451836127,4.874563287624701e-08
11.65,11.18,21.129380676135227,20.817243040560363,4.429200646927731e-08
11.65,11.18,21.25440068013603,18.91528346274295,4.0245283963282814e-08
11.65,11.18,21.37942068413683,17.18709570613191,3.6568288736450823e-08
11.65,11.18,21.504440688137628,15.61680317366499,3.322724079503185e-08
11.65,11.18,21.62946069213843,14.189979827597064,3.019144644169584e-08
11.65,11.18,21.75448069613923,12.893517659693892,2.743301629722101e-08
11.65,11.18,21.879500700140028,11.715506269961288,2.4926609085023983e-08
11.65,11.18,22.00452070414083,10.645123447619358,2.2649198824722007e-08
11.65,11.18,22.12954070814163,9.672535749104316,2.0579863295966602e-08
11.65,11.18,22.25456071214243,8.78880815972347,1.8699591829198845e-08
11.65,11.18,22.37958071614323,7.985822009039804,1.6991110657531476e-08
11.65,11.18,22.50460072014403,7.2562003858861726,1.543872422528971e-08
11.65,11.18,22.62962072414483,6.593240367808457,1.4028170995337123e-08
11.65,11.18,22.75464072814563,5.9908514423406345,1.274649243051197e-08
11.65,11.18,22.87966073214643,5.443499554396611,1.1581913945524689e-08
11.65,11.18,23.004680736147233,4.946156265750895,1.0523736735640188e-08
11.65,11.18,23.12970074014803,4.494252559544613,9.56223948839278e-09
11.65,11.18,23.25472074414883,4.083636865425031,8.688589075372394e-09
11.65,11.18,23.379740748149633,3.7105369197026157,7.894759403622576e-09
11.65,11.18,23.504760752150432,3.3715251101405705,7.17345768115014e-09
11.65,11.18,23.62978075615123,3.063486987004419,6.518057419158329e-09
11.65,11.18,23.754800760152033,2.7835926510878224,5.922537555505997e-09
11.65,11.18,23.879820764152832,2.529270755860722,5.3814271401291884e-09
11.65,11.18,24.00484076815363,2.2981848849012714,4.889755074258018e-09
11.65,11.18,24.129860772154434,2.0882120875948944,4.443004441691259e-09
11.65,11.18,24.254880776155233,1.8974233759111905,4.037071012576995e-09
11.65,11.18,24.37990078015603,1.7240660030853432,3.6682255384794483e-09
11.65,11.18,24.504920784156834,1.5665473614012102,3.333079492342996e-09
11.65,11.18,24.629940788157633,1.4234203511474393,3.0285539386115687e-09
11.65,11.18,24.754960792158432,1.2933700863333124,2.751851247517682e-09
