source_id,x,y,z,R,phi,U,V,eU,eV,Dist,e_mu,ruwe,rv_kms,rv_error_kms,rv_source,rv_epochs
4307944836090489600,-6.839798875071264,1.2604244514024392,-0.07880941558264153,6.954963583594042,2.9593590854976743,-30.101127345755074,5.343575301286563,2.365464235896614,0.5220523801176385,1.82,0.113,1.1256882,1.8,0.2,melnik2015_hrv,
4308963877171060480,-6.580005536685731,1.5116703821591477,-0.043242877865755404,6.751416163081051,2.915774116745624,8.249345706491756,14.118867255292884,1.0068806042173768,1.0631742358410319,2.18,0.048,1.0924631,36.252796,1.236942,gaia_vari_cepheid,14.0
4312361436842603520,-7.470661214970486,0.6639257521221615,0.01978048642953242,7.500105092143394,3.0529544381567515,1.2149269642734517,-7.761650180112326,0.7418680703838528,1.0972974857392013,0.95,0.129,1.2614822,-5.442,1.0,veloce_dr1_vgamma,15.0
4506239181160199424,-5.591925158879641,2.5659992568668786,0.354083441486063,6.152558749719702,2.7113821541635867,-11.427649672343883,9.408888986987279,3.7253011883176796,4.381723741355701,3.64,0.109,1.0259914,46.33593,4.7550426,gaia_source_rvs,14.0
4309465117041181952,-5.8782569688857045,2.2808800798185476,-0.06645897440719306,6.30526121035175,2.771456507372806,2.2805846802179337,17.00439575565173,3.010482911946315,1.8916525101608601,3.22,0.112,1.1981014,51.381172,1.5507613,gaia_vari_cepheid,10.0
4313067181547804160,-3.2864099273444207,4.94780994722544,0.17368556203522806,5.939807529239561,2.157099749677711,-5.031812654977982,-0.526782139317163,4.16265829780613,4.810184172709499,6.94,0.129,0.97451067,48.290188,4.355116,gaia_vari_cepheid,8.0
4312800966604310912,-6.147899036616623,2.0423441911327203,0.010919268780940013,6.478258435682013,2.8208606686520175,-23.187507427163748,2.0983329396414945,1.7580444421607886,2.342054333895967,2.86,0.051,1.0854877,21.040588,2.5182865,gaia_source_rvs,10.0
4313930611760205568,-6.3907519251797265,1.8305054671191114,0.08232757193840262,6.6477410023512,2.8626310755591775,7.756575238970172,6.918192783165864,0.8147077853855927,0.9614403493520607,2.54,0.051,1.0697186,33.903,1.0,veloce_dr1_vgamma,12.0
4313179507891570304,-5.9354983632372615,2.308213165801348,0.09573691851576666,6.368515434445526,2.770706662150911,0.13128652107545807,-16.392208702627414,0.9411945096793571,1.0398895656336211,3.2,0.067,0.9160869,18.0,0.6,melnik2015_hrv,
4312997053315161472,-5.227390235226105,3.057636243108412,0.05158270173614759,6.05596797106023,2.612330749003529,30.66355856810687,25.81197622740288,4.914187753809757,1.5361632850264386,4.23,0.216,0.9786934,76.54047,1.4648073,gaia_source_rvs,33.0
4313263895380890752,-6.22034335909121,2.042096302538546,0.05423501384912598,6.54697096479217,2.8243850751040123,-1.4268189570631726,11.41906150806895,1.2904429866303373,1.1879152967345188,2.81,0.055,1.3570275,37.541374,1.0588316,gaia_source_rvs,22.0
4315931963396487680,-6.386938792979571,1.8695899809734862,-0.028485691371650055,6.6549495747318606,2.8568273092663294,19.72570221362563,18.083102331276933,2.6273452160863466,4.3309055494774835,2.57,0.111,1.0369323,49.668888,4.8768106,gaia_source_rvs,15.0
4312947369135938688,-6.627599421944676,1.6156636933546067,-0.0127472062978124,6.82168917994551,2.9024784005344113,11.193226285288135,16.313242195695153,0.6483688356868541,0.4744693734916702,2.22,0.041,1.0944887,39.12575,0.3268281,gaia_vari_cepheid,34.0
4314785619467898624,-4.013664760430162,4.402151242450472,-0.3325984725462631,5.95721750236863,2.310065761313615,30.399167624945697,-23.798522607401992,0.5902709157229881,3.120213147982539,6.05,0.11,1.0434977,24.07338,1.8474287,gaia_source_rvs,17.0
4313231425392045824,-6.233718528917921,2.0413079326757098,0.03606730538574209,6.559434790725446,2.825135284613645,15.241333725804537,19.95636828809492,2.0980124984070474,1.6560663234836754,2.8,0.114,1.0600479,52.152985,1.4968296,gaia_source_rvs,37.0
4313243932361614720,-5.613034501297408,2.706665797453369,0.048809763688839984,6.231548447365143,2.692277423331557,50.59496185722193,32.23724218920154,2.0856395350195127,1.711653892952396,3.71,0.133,1.0597548,84.59637,1.6455847,gaia_vari_cepheid,37.0
4313041003732536576,-6.101176379668658,2.191329469350003,0.025613032029298762,6.4827677776601345,2.796776403305295,9.893313072698044,15.944822644322585,2.5507890522769023,1.4246644649939355,3.0,0.123,0.96042114,48.789307,0.7832662,gaia_vari_cepheid,36.0
4313041038092275712,-5.821912790934454,2.4915063401814446,0.028187989740861615,6.332635500990921,2.7372232617023777,4.535858276561896,5.716308876304311,2.0683398493234155,3.37804912938148,3.41,0.078,1.0826533,42.21039,3.2045636,gaia_source_rvs,29.0
4319239225664800512,-6.077681197246752,2.2240141760347436,0.03488394603701755,6.4718195115879285,2.790796173783855,-0.81815059514012,6.899416071547165,2.5076932522149233,1.6973000631001112,3.04,0.113,1.0304885,36.650913,1.1523106,gaia_source_rvs,39.0
