name,arm,ra_deg,dec_deg,plx_mas,e_plx_mas,x_kpc,y_kpc,z_kpc,R_kpc,phi_rad,U_kms,V_kms,W_kms,e_U_kms,e_V_kms,e_W_kms
G058.77+00.64,LoS,294.70469541666665,23.144501388888887,0.299,0.04,-6.4162898068911005,2.8598050840156652,0.04193475284245123,7.0247604944636,2.7223119443607016,15.512018649362977,-6.191130454549807,-2.5107294078717897,5.952516998945307,3.212591083811606,5.841486368120551
G059.47-00.18,LoS,295.8681266666666,23.345145,0.535,0.024,-7.2007142957919665,1.6101460323860568,-0.00119646846460975,7.37854027672353,2.92160237917584,14.76326897281299,-4.743939812853313,-7.526263340021493,10.240520817553575,4.5156662386284125,10.564163613027043
G059.78+00.06,LoS,295.79686,23.73424166666667,0.463,0.02,-7.06299932732126,1.8663558751222575,0.007206790153064242,7.305425637862858,2.8832533586477984,-0.3609705803926126,-5.441280032853371,-5.1918449600516094,5.007058509635595,4.961997565430401,5.659421962390439
G059.83+00.67,LoS,295.24705750000004,24.078938055555554,0.242,0.014,-6.073558862934975,3.5723270227346777,0.05257375175210615,7.0462498975622765,2.6099119703653817,16.366743533443916,-2.801320383208008,-1.9958970264537819,5.089597510535216,2.9428060739654005,5.648042927049017
G069.54-00.97,Loc,302.5377916666667,31.526652777777777,0.406,0.013,-7.2891868936453434,2.307343187289176,-0.03701277551898458,7.645657470382833,2.835028472136438,6.668393655176011,-7.704423007480472,5.627306079002156,4.904045223214607,4.64325707327317,4.6861047450234015
G070.18+01.74,Per,300.22703083333334,33.52450666666667,0.156,0.016,-5.977482001953404,6.027788108489177,0.19871329196354676,8.489082433603787,2.3520041794674746,11.171777401659844,-14.402595610932963,-3.73455410599367,5.776753122113666,10.480225455771219,5.136153349725982
G071.31+00.82,Loc,301.8802470833333,33.99485861111111,0.213,0.028,-6.6458652699212175,4.446862854338226,0.07241128873813601,7.996381333530695,2.5518954355108674,6.429887864423734,2.1276981651862457,-11.483579938183594,14.14156951564152,9.592168294079114,17.110963536251678
G071.52-00.38,Loc,303.24122625,33.50752305555555,0.277,0.026,-7.005848377148217,3.4239124259166083,-0.019539398202294504,7.797761716283492,2.687008060229333,-4.373562787440717,-4.508679403150666,-3.897933159217879,5.438397506854297,3.367951983182058,5.140855087791023
G074.03-01.71,Loc,306.2796054166667,34.832664722222226,0.629,0.017,-7.712921443223972,1.5278149689071336,-0.04234650487372727,7.8627842249778706,2.9460390007924797,7.8056501293516805,-8.407100184694116,10.070401351928092,10.841832269791292,5.080132824013549,10.462952872274805
G075.29+01.32,Out,304.06671666666665,37.59605833333334,0.108,0.01,-5.800335524369119,8.953651515223171,0.2178491163702238,10.668259823013152,2.145636012538988,12.728956679118436,4.935427755202738,-17.633299039344113,5.937144045214086,17.795355784849782,6.091613912024487
